2020-11-03 17:19:58,628 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2020-11-03 17:27:36,840 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.co.itgood:cubecms:3.0.7 @ D:\CUBE307\work2\jungleon\SNIP_MNGR\pom.xml.
2020-11-03 17:27:37,472 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:27:37,572 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:27:39,407 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:27:39,484 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:27:41,708 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:27:41,709 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\main\resources
2020-11-03 17:27:41,710 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:27:41,710 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\test\resources
2020-11-03 17:27:43,739 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.co.itgood:cubecms:3.0.7 @ D:\CUBE307\work2\jungleon\SNIP_USR\pom.xml.
2020-11-03 17:27:44,258 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:27:44,332 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:27:45,456 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:27:45,531 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:27:46,652 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:27:46,653 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
2020-11-03 17:27:46,654 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:27:46,654 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\test\resources
2020-11-03 17:28:41,761 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:28:41,828 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:28:42,420 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:28:42,420 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\main\resources
2020-11-03 17:28:42,422 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:28:42,422 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\test\resources
2020-11-03 17:28:43,821 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:28:43,889 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:28:44,431 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:28:44,432 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
2020-11-03 17:28:44,433 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:28:44,433 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\test\resources
